step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
5000,20
1,2,0.01801449209780638,12,160000
2,2,0.01801449209780638,02,160000
3,4,0.01804281788823195,04,160000
4,6,0.018071187398179714,26,160000
5,7,0.018085388568252102,07,160000
6,9,0.018113823779197482,09,160000
7,13,0.01817082591201844,213,160000
8,16,0.01821369301532705,216,160000
9,19,0.01825665936670759,019,160000
10,27,0.01837172319789198,027,160000
11,35,0.018487498570249707,435,160000
12,45,0.018633224832916805,045,160000
13,57,0.018809584323577502,457,160000
14,66,0.01894292736777939,566,160000
15,80,0.01915219451815337,180,160000
16,90,0.019303057152994987,290,160000
17,104,0.01951622360179505,3104,160000
18,124,0.01982475437421391,9124,160000
19,133,0.019965147625049407,7133,160000
20,147,0.020185475142294074,7147,160000
21,165,0.020472255157264158,11165,160000
22,184,0.020779294961416936,8184,160000
23,206,0.02114044798539788,7207,160000
24,230,0.02154143817767652,16231,160000
25,253,0.021932695874993934,20255,160000
26,281,0.022418393784492896,12283,160000
27,304,0.022825208081280593,28306,160000
28,332,0.023330199154168053,27336,160000
29,361,0.02386471919956155,32367,160000
30,385,0.02431609949246843,40393,160000
31,418,0.0249503632008432,37430,160000
32,457,0.0257207476878367,45471,160000
33,480,0.02618588278837125,48497,160000
34,524,0.0270986177943708,47540,160000
35,550,0.027652422322823136,62571,160000
36,574,0.028173375990886124,59602,160000
37,615,0.029085461669219492,70648,160000
38,640,0.02965560236730284,64682,160000
39,672,0.03040120873618428,61722,160000
40,709,0.03128596076880048,74760,160000
41,742,0.032096046506391515,61800,160000
42,783,0.03313079549240365,75851,160000
43,814,0.033934481684173255,78897,160000
44,863,0.0352433171681479,89954,160000
45,886,0.035874317937222094,74988,160000
46,939,0.037370031601968216,871050,160000
47,969,0.03824304718995631,901089,160000
48,1017,0.03968073467423904,821151,160000
49,1041,0.04041887431295882,901191,160000
50,1080,0.041646475108917363,871244,160000
51,1112,0.04268029775233304,881291,160000
52,1150,0.04393981539614132,821338,160000
53,1199,0.045616329737180786,951391,160000
54,1239,0.047029898158118554,821444,160000
55,1307,0.04952896679235266,761516,160000
56,1351,0.05121255882998305,901581,160000
57,1402,0.05323171574069,901653,160000
58,1450,0.0552005377829343,1241720,160000
59,1476,0.05629541948613091,921771,160000
60,1516,0.05801979582704522,1061832,160000
61,1530,0.05863495372802786,1041876,160000
62,1564,0.06015445745463815,1031939,160000
63,1603,0.06194277381730149,1161997,160000
64,1627,0.0630678344401285,1032052,160000
65,1680,0.06562016433415983,1082128,160000
66,1701,0.06665778994709066,922190,160000
67,1758,0.06955145098608662,1092273,160000
68,1796,0.07154468726508598,1092341,160000
69,1850,0.07446794516602807,1112432,160000
70,1881,0.07619536367898094,1202497,160000
71,1954,0.08040921412248299,1402591,160000
72,1983,0.08214149015651016,1132660,160000
73,2034,0.0852704872618945,1222738,160000
74,2084,0.08844266540242976,1342817,160000
75,2120,0.09079222411077965,1472889,160000
76,2162,0.09360426971638706,1322972,160000
77,2210,0.09691345733830121,1413053,160000
78,2254,0.10003821845036076,1333118,160000
79,2308,0.10399529559112025,1443214,160000
80,2335,0.10602527441959957,1253272,160000
81,2410,0.11184820789773815,1523363,160000
82,2448,0.11490391015443034,1493439,160000
83,2492,0.1185325990086563,1263520,160000
84,2527,0.12148950218303485,1533602,160000
85,2547,0.12320754714912915,1653675,160000
86,2586,0.12661781775756992,1483755,160000
87,2598,0.1276832517515639,1573828,160000
88,2624,0.13001795694571638,1453907,160000
89,2653,0.1326647857810995,1383989,160000
90,2690,0.13610789097183962,1624071,160000
91,2737,0.14058978906559133,1444156,160000
92,2795,0.14629007551734285,1584257,160000
93,2819,0.1487042710672752,1734336,160000
94,2867,0.15363123554130131,1514423,160000
95,2910,0.15815770905624832,1824516,160000
96,2947,0.16213875867239697,1744615,160000
97,2998,0.1677581115781845,1944698,160000
98,3040,0.17250169448621216,1684802,160000
99,3058,0.17456692435518523,1814886,160000
100,3099,0.17934374554848362,1874994,160000
101,3119,0.18171071183783233,1935066,160000
102,3139,0.1841019091704494,1775164,160000
103,3144,0.18470350212142533,1835242,160000
104,3170,0.1878562978782809,1875342,160000
105,3172,0.18810052589572016,1755431,160000
106,3200,0.19154534856146752,1705525,160000
107,3231,0.19541517519395465,1815631,160000
108,3247,0.19743554387343132,1695724,160000
109,3299,0.2041103120867482,1865839,160000
110,3331,0.20830052506269606,1965937,160000
111,3331,0.20830052506269606,1776024,160000
112,3375,0.21416501695744142,1976132,160000
113,3379,0.2147040643088451,1736209,160000
114,3427,0.22124944627012505,1726320,160000
115,3423,0.22069858409808263,2166393,160000
116,3441,0.2231852085393159,1966476,160000
117,3427,0.22124944627012505,2156547,160000
118,3420,0.22028608307938724,1776630,160000
119,3440,0.2230465403980427,2266722,160000
120,3423,0.22069858409808263,1806787,160000
121,3432,0.2219394071732938,1786878,160000
122,3440,0.2230465403980427,1956962,160000
123,3450,0.22443598573092652,1897042,160000
124,3454,0.22499348317607173,1837123,160000
125,3449,0.22429676485053143,1977204,160000
126,3448,0.2241576053704259,1927271,160000
127,3445,0.22374049537054946,1817355,160000
128,3454,0.22499348317607173,2027421,160000
129,3468,0.22695245633451444,2077510,160000
130,3482,0.22892344771957826,2087574,160000
131,3506,0.23233021019207964,2067673,160000
132,3501,0.23161756262467767,1997737,160000
133,3526,0.23519606885257366,1837823,160000
134,3539,0.23707195840273826,2067901,160000
135,3562,0.2404160290015986,1697982,160000
136,3577,0.24261424402370463,2008075,160000
137,3589,0.2443826246371373,1918154,160000
