step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
161,4037,0.3163925845836275,219,86,77,254,403,2978
162,4038,0.3165656406475024,222,103,62,264,416,2970
163,4045,0.31777845359932394,214,96,72,260,413,2983
164,4057,0.31986331965680326,219,103,62,269,416,2976
165,4069,0.32195540891831337,234,84,79,249,411,3000
166,4069,0.32195540891831337,239,84,62,261,425,2998
167,4054,0.31934142367422885,219,93,55,260,434,3008
168,4070,0.32213007388638937,230,90,67,236,426,3005
169,4093,0.326161018788554,240,97,66,226,419,3022
170,4113,0.3296872315926461,218,101,67,249,403,3055
171,4136,0.3337661804595885,244,91,68,257,403,3050
172,4171,0.3400211427055694,233,91,70,254,427,3061
173,4173,0.3403802853816782,236,108,59,277,405,3086
174,4196,0.344523533678505,209,100,73,281,430,3080
175,4228,0.3503274905549616,229,110,82,251,418,3106
176,4265,0.35709387863877096,241,99,77,278,424,3109
177,4296,0.3628073652572402,255,115,66,291,438,3100
178,4356,0.37397531749745777,242,85,80,280,455,3154
179,4338,0.3706101865130783,271,134,43,304,440,3164
180,4403,0.38281901020861925,243,63,106,262,481,3183
181,4370,0.37660111543038477,275,128,47,272,447,3234
182,4395,0.38130802939870706,250,76,90,257,485,3212
183,4379,0.37829297484128654,271,89,57,272,434,3272
184,4401,0.3824410513675857,245,92,62,272,483,3225
185,4375,0.3775406687981454,257,90,59,252,442,3301
186,4377,0.37791674834455724,261,88,60,240,483,3243
187,4369,0.3764133158075823,274,94,53,237,453,3266
188,4370,0.37660111543038477,259,87,61,227,474,3261
189,4359,0.3745373698961733,261,75,63,223,438,3310
190,4337,0.3704235992160933,235,101,52,220,461,3290
191,4343,0.371543701522387,255,71,68,215,429,3299
192,4314,0.3661428629483575,252,92,41,234,439,3285
193,4315,0.3663285486362262,227,56,76,194,446,3315
194,4293,0.3622527205127533,247,107,37,211,412,3301
195,4301,0.3637325844805561,213,69,79,190,423,3319
196,4277,0.35930083668095586,244,93,46,220,400,3298
197,4286,0.36095997724641576,224,62,68,222,410,3291
198,4253,0.3548929677001558,250,76,44,228,395,3293
199,4240,0.35251555983448407,206,69,57,203,439,3279
200,4219,0.34869055504968177,254,72,53,208,372,3281
201,4199,0.34506572069603547,217,62,60,200,413,3267
202,4179,0.3414588130756476,229,64,48,204,383,3271
203,4169,0.33966218383912405,210,76,49,207,389,3248
204,4162,0.3384072798921624,238,58,57,217,347,3252
205,4155,0.337154645059339,205,65,40,213,404,3235
206,4130,0.3326996751729083,198,84,45,208,356,3264
207,4165,0.33894481880658406,213,80,63,201,372,3201
208,4164,0.3387655929254596,210,97,58,217,366,3217
209,4190,0.34344037417764955,211,63,73,223,372,3222
