step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
5000,20
1,2,0.01801449209780638,1,2,160000
2,3,0.018028649532131676,0,3,160000
3,3,0.018028649532131676,0,3,160000
4,6,0.018071187398179714,0,6,160000
5,7,0.018085388568252102,0,7,160000
6,11,0.018142302872079484,0,11,160000
7,14,0.018185103932508558,1,14,160000
8,19,0.01825665936670759,2,19,160000
9,22,0.018299725187062334,2,22,160000
10,28,0.018386156120552874,0,28,160000
11,36,0.018502020732330753,1,36,160000
12,45,0.018633224832916805,2,45,160000
13,53,0.01875061666449252,1,53,160000
14,64,0.018913215694342084,5,64,160000
15,71,0.019017406955685486,4,71,160000
16,84,0.0192124003477516,1,84,160000
17,94,0.019363727863983732,7,94,160000
18,111,0.019623670336374167,3,111,160000
19,120,0.019762668279090862,5,120,160000
20,142,0.020106514706089054,10,143,160000
21,156,0.02032836993506434,9,157,160000
22,179,0.02069806072279636,10,180,160000
23,200,0.021041347020468282,12,201,160000
24,227,0.02149091045185969,10,228,160000
25,247,0.021829963880627825,23,248,160000
26,273,0.02227856048519544,19,275,160000
27,300,0.022753943462804,24,302,160000
28,314,0.023004324628862545,25,322,160000
29,351,0.023679065803749212,26,360,160000
30,379,0.02420247996748605,45,386,160000
31,419,0.024969832873114998,25,427,160000
32,452,0.02562070085846929,38,461,160000
33,486,0.02630856243929746,59,499,160000
34,524,0.0270986177943708,45,538,160000
35,553,0.027717026167009648,47,572,160000
36,590,0.028525959917560944,67,610,160000
37,626,0.02933500174366771,68,651,160000
38,670,0.030354080995656483,75,695,160000
39,706,0.031213305376095096,53,742,160000
40,738,0.031996784366591494,77,789,160000
41,777,0.032977380485487366,90,837,160000
42,808,0.033777475150559115,80,882,160000
43,851,0.034918357756266165,83,931,160000
44,887,0.03590199809440309,90,980,160000
45,923,0.03691228750031431,89,1029,160000
46,960,0.03797910612283802,87,1075,160000
47,997,0.03907550637414505,104,1129,160000
48,1023,0.03986404899627886,85,1169,160000
49,1061,0.04104402088821961,87,1224,160000
50,1096,0.04216035719204967,90,1287,160000
51,1145,0.04377208516802039,88,1342,160000
52,1187,0.04520020748299777,103,1404,160000
53,1239,0.047029898158118554,101,1465,160000
54,1277,0.04841128369547306,92,1515,160000
55,1324,0.05017313483467458,105,1579,160000
56,1355,0.051368269781165446,113,1623,160000
57,1392,0.05282996898357222,96,1685,160000
58,1425,0.05416670048123605,107,1741,160000
59,1458,0.05553527153833431,101,1798,160000
60,1505,0.057540711489464276,116,1866,160000
61,1543,0.05921164336655594,101,1929,160000
62,1575,0.060653903315652125,92,1994,160000
63,1603,0.06194277381730149,95,2064,160000
64,1651,0.06421193065632977,114,2145,160000
65,1686,0.06591508664794013,103,2211,160000
66,1745,0.06888143039767268,102,2297,160000
67,1788,0.07112072457829945,128,2362,160000
68,1837,0.07375431609624418,101,2440,160000
69,1869,0.07552236650286168,137,2510,160000
70,1918,0.07830520990251508,127,2586,160000
71,1956,0.08052760329308553,127,2654,160000
72,2011,0.0838462066284355,125,2741,160000
73,2062,0.08703398356189762,125,2827,160000
74,2108,0.09000286074086192,132,2911,160000
75,2126,0.09118923834433652,119,2985,160000
76,2190,0.09552212046077359,140,3079,160000
77,2203,0.0964244435205355,148,3137,160000
78,2237,0.09882044547538946,121,3212,160000
79,2275,0.10156092789763668,150,3291,160000
80,2304,0.10369749634385615,136,3357,160000
81,2348,0.10701507376211747,144,3437,160000
82,2411,0.11192770312750136,137,3531,160000
83,2462,0.11604788345791621,152,3605,160000
84,2536,0.12226005340058105,150,3698,160000
85,2584,0.12644098624289873,153,3784,160000
86,2646,0.13202174713549866,164,3887,160000
87,2703,0.13733538367015466,165,3974,160000
88,2755,0.14233868016703644,165,4078,160000
89,2768,0.14361302398435596,166,4153,160000
90,2810,0.14779511710651905,175,4258,160000
91,2846,0.15145944246787343,151,4345,160000
92,2861,0.1530081350266844,174,4431,160000
93,2891,0.15614442237042112,172,4524,160000
94,2896,0.1566722009520849,162,4597,160000
95,2935,0.16083882703896127,166,4689,160000
96,2949,0.1623562358399448,170,4771,160000
97,2987,0.16653308624261706,159,4861,160000
98,2985,0.16631112500884632,153,4940,160000
99,3044,0.17295895685613316,185,5046,160000
100,3040,0.17250169448621216,181,5123,160000
101,3077,0.17676798808320354,154,5227,160000
102,3092,0.1785210194749083,191,5315,160000
103,3153,0.18579019882755632,157,5432,160000
104,3181,0.18920257074077035,202,5528,160000
105,3208,0.1925383821885373,166,5625,160000
106,3212,0.19303636725116058,182,5723,160000
107,3227,0.19491253566087766,174,5807,160000
108,3251,0.19794309004935418,194,5909,160000
109,3269,0.20023920497225123,169,5994,160000
110,3302,0.20450046726462673,191,6095,160000
111,3297,0.2038505162674789,177,6172,160000
112,3330,0.2081686267164163,187,6268,160000
113,3307,0.20515195655971635,205,6327,160000
114,3324,0.2073785296360352,177,6406,160000
115,3303,0.20463064205187761,194,6466,160000
116,3309,0.20541298305512015,161,6546,160000
117,3307,0.20515195655971635,207,6618,160000
118,3313,0.2059357745995618,148,6684,160000
119,3312,0.2058049843900429,199,6756,160000
120,3322,0.20711565648770708,175,6819,160000
121,3351,0.2109514234221328,169,6897,160000
122,3353,0.21121786806260703,193,6960,160000
123,3371,0.21362695480704072,141,7044,160000
124,3393,0.21659848754953548,182,7129,160000
125,3434,0.2222158217810878,175,7220,160000
126,3468,0.22695245633451444,173,7325,160000
127,3518,0.23404679568105483,187,7427,160000
128,3543,0.23765122559012308,176,7527,160000
129,3563,0.2405621522684122,183,7618,160000
