step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D,DEAD,true_count
65,1090,0.04196694487708935,19,26,34,85,105,43,43,1908.0,0.218,0.011925
66,1097,0.04219267531671974,30,47,12,87,105,39,39,1940.0,0.2194,0.012125
67,1106,0.04248460598612901,17,41,29,84,99,43,43,1983.0,0.2212,0.01239375
68,1110,0.04261497166222443,28,34,24,92,93,45,45,2019.0,0.222,0.01261875
69,1118,0.04287685054647855,27,37,19,90,112,35,35,2052.0,0.2236,0.012825
70,1129,0.0432394449600381,23,33,27,75,103,44,44,2096.0,0.2258,0.0131
71,1140,0.04360496600963426,34,34,16,88,95,44,44,2139.0,0.228,0.01336875
72,1137,0.04350498699436932,23,43,15,97,100,43,43,2170.0,0.2274,0.0135625
73,1156,0.044141901110219275,19,33,28,77,115,39,39,2222.0,0.2312,0.0138875
74,1161,0.04431098276845663,29,50,14,83,98,42,42,2259.0,0.2322,0.01411875
75,1179,0.0449248042923997,26,32,31,91,96,40,40,2307.0,0.2358,0.01441875
76,1193,0.045407814612741154,26,41,24,86,109,43,43,2349.0,0.2386,0.01468125
77,1197,0.045546723588348326,23,42,18,99,102,38,38,2386.0,0.2394,0.0149125
78,1219,0.046317983572524646,27,31,28,75,112,44,44,2437.0,0.2438,0.01523125
79,1228,0.04663706740616865,41,44,18,94,86,44,44,2476.0,0.2456,0.015475
80,1248,0.04735364284073706,14,47,28,94,115,36,36,2517.0,0.2496,0.01573125
81,1274,0.048300841132426706,35,33,28,82,107,40,40,2567.0,0.2548,0.01604375
82,1277,0.04841128369547306,39,42,19,100,97,43,43,2599.0,0.2554,0.01624375
83,1300,0.049266006084026655,29,33,24,103,111,39,39,2636.0,0.26,0.016475
84,1318,0.04994488031439407,32,43,20,102,104,42,42,2679.0,0.2636,0.01674375
85,1331,0.05044068052292601,33,47,22,94,118,40,40,2716.0,0.2662,0.016975
86,1356,0.051407267432065126,43,28,35,95,100,48,48,2761.0,0.2712,0.01725625
87,1381,0.052391354925063444,39,48,19,108,117,36,36,2808.0,0.2762,0.01755
88,1394,0.052910088631225774,31,51,30,95,118,46,46,2846.0,0.2788,0.0177875
89,1429,0.05433087911022527,40,40,31,110,110,40,40,2901.0,0.2858,0.01813125
90,1449,0.05515882987575335,43,48,25,112,117,45,45,2945.0,0.2898,0.01840625
91,1470,0.0560409559494485,39,44,27,123,121,45,45,2991.0,0.294,0.01869375
92,1493,0.057022311562151234,33,46,28,121,124,45,45,3044.0,0.2986,0.019025
93,1512,0.057845151784364085,41,43,26,115,130,47,47,3086.0,0.3024,0.0192875
94,1512,0.057845151784364085,24,52,27,115,126,57,57,3124.0,0.3024,0.019525
95,1541,0.059122577201032485,45,39,29,108,135,38,38,3169.0,0.3082,0.01980625
96,1542,0.059167094578476444,35,45,28,99,129,57,57,3206.0,0.3084,0.0200375
97,1568,0.06033562717330779,29,40,29,107,121,48,48,3251.0,0.3136,0.02031875
98,1581,0.06092796077379513,29,60,21,101,125,46,46,3288.0,0.3162,0.02055
99,1614,0.06245608087998738,42,43,37,96,122,45,45,3347.0,0.3228,0.02091875
100,1633,0.06335206335739557,34,60,28,111,119,47,47,3395.0,0.3266,0.02121875
101,1649,0.06411585565238218,29,48,34,114,129,51,51,3444.0,0.3298,0.021525
102,1683,0.06576747181328943,32,52,29,108,132,45,45,3497.0,0.3366,0.02185625
103,1689,0.06606300937459511,32,62,28,105,128,63,63,3547.0,0.3378,0.02216875
104,1721,0.06766015087204136,38,55,33,110,145,47,47,3604.0,0.3442,0.022525
105,1740,0.06862532527007503,41,61,33,118,127,56,56,3663.0,0.348,0.02289375
106,1754,0.06934465106679066,43,48,35,132,138,57,57,3712.0,0.3508,0.0232
107,1764,0.06986272094374503,43,43,29,132,147,53,53,3759.0,0.3528,0.02349375
108,1760,0.06965506479929011,39,39,30,109,158,67,67,3806.0,0.352,0.0237875
109,1751,0.06918992473295069,27,50,24,114,139,72,72,3855.0,0.3502,0.02409375
110,1740,0.06862532527007503,28,48,25,110,136,65,65,3894.0,0.348,0.0243375
111,1750,0.06913842034334682,36,38,35,83,150,60,60,3947.0,0.35,0.02466875
112,1746,0.0689327575205511,50,44,21,111,114,60,60,3989.0,0.3492,0.02493125
113,1747,0.06898412005634603,31,39,22,116,141,51,51,4032.0,0.3494,0.0252
114,1746,0.0689327575205511,30,41,26,99,132,62,62,4077.0,0.3492,0.02548125
115,1760,0.06965506479929011,40,38,26,101,126,56,56,4128.0,0.352,0.0258
116,1770,0.07017527889079067,27,54,27,97,129,54,54,4176.0,0.354,0.0261
117,1805,0.07202443267268428,44,41,35,101,117,50,50,4235.0,0.361,0.02646875
118,1833,0.07353600727849566,47,59,25,125,116,44,44,4280.0,0.3666,0.02675
119,1862,0.07513230977969641,28,57,37,132,130,46,46,4329.0,0.3724,0.02705625
120,1892,0.07681710719321534,37,53,39,117,144,50,50,4380.0,0.3784,0.027375
121,1930,0.07900088648479896,56,44,32,123,138,55,55,4442.0,0.386,0.0277625
122,1954,0.08040921412248299,41,74,25,131,149,46,46,4488.0,0.3908,0.02805
123,1970,0.08136078954230895,30,56,37,134,143,64,64,4543.0,0.394,0.02839375
124,1987,0.08238307463477879,32,63,32,127,157,52,52,4597.0,0.3974,0.02873125
125,2007,0.0836007224823829,30,50,38,119,145,66,66,4655.0,0.4014,0.02909375
126,2028,0.08489683454033366,49,60,30,114,157,52,52,4709.0,0.4056,0.02943125
127,2025,0.08471056573073579,35,60,33,128,138,70,70,4750.0,0.405,0.0296875
128,2060,0.08690693302625986,35,48,42,118,160,52,52,4812.0,0.412,0.030075
129,2070,0.08754386747907818,50,57,31,133,128,74,74,4871.0,0.414,0.03044375
130,2091,0.08889518228294176,36,61,31,132,179,47,47,4911.0,0.4182,0.03069375
131,2104,0.0897411168632302,48,47,44,116,143,75,75,4974.0,0.4208,0.0310875
132,2134,0.09172101994805049,46,65,33,124,166,50,50,5023.0,0.4268,0.03139375
133,2139,0.09205479769856269,41,58,33,136,148,73,73,5075.0,0.4278,0.03171875
134,2168,0.09401230894482791,34,63,38,112,184,51,51,5137.0,0.4336,0.03210625
135,2170,0.09414867588855598,35,63,41,118,135,76,76,5193.0,0.434,0.03245625
136,2211,0.0969834969114733,41,51,40,119,166,52,52,5258.0,0.4422,0.0328625
137,2214,0.09719388678367553,51,71,23,135,142,61,61,5303.0,0.4428,0.03314375
138,2236,0.09874922436512541,29,54,44,113,175,57,57,5361.0,0.4472,0.03350625
139,2235,0.09867804896422738,58,47,33,112,148,82,82,5419.0,0.447,0.03386875
140,2244,0.09932027489286634,35,60,27,127,166,61,61,5468.0,0.4488,0.034175
141,2259,0.10039891732568672,41,53,37,107,163,75,75,5535.0,0.4518,0.03459375
142,2264,0.10076077113080635,42,73,34,113,159,73,73,5587.0,0.4528,0.03491875
143,2299,0.10332630794795289,40,51,49,122,156,70,70,5658.0,0.4598,0.0353625
144,2328,0.10549565435504077,58,70,30,132,164,55,55,5703.0,0.4656,0.03564375
145,2330,0.1056467358004965,34,64,41,131,170,80,80,5759.0,0.466,0.03599375
146,2339,0.10632896555960947,47,57,29,126,186,64,64,5803.0,0.4678,0.03626875
147,2336,0.10610112545474985,39,58,30,109,173,84,84,5850.0,0.4672,0.0365625
148,2347,0.106938647515484,40,65,37,105,175,82,82,5908.0,0.4694,0.036925
149,2376,0.10917460127889064,53,64,38,120,164,69,69,5971.0,0.4752,0.03731875
